domain,company,vertical,industry_raw,region,source,list_year
ecwid.com,Ecwid,ecommerce_retail,E-Commerce Platforms,us,g2.com_wayback,2022
edapp.com,EdApp,edtech,Course Authoring,us,g2.com_wayback,2022
edmodo.com,Edmodo,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
edrone.me,edrone,software_saas,CRM,,g2.com_wayback,2022
edsby.com,Edsby,edtech,Learning Management System (LMS),other,g2.com_wayback,2021
elucidat.com,Elucidat,edtech,Course Authoring,other,g2.com_wayback,2022
emarsys.com,Emarsys,software_saas,Marketing Automation,eu,g2.com_wayback,2022
enchant.com,Enchant,software_saas,Help Desk,us,g2.com_wayback,2022
engagebay.com,EngageBay All-in-One Suite,software_saas,Marketing Automation,us,g2.com_wayback,2022
epaysystems.com,EPAY HCM,software_saas,Payroll,us,g2.com_wayback,2022
epsagon.com,Epsagon,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
eset.com,ESET PROTECT Advanced,software_saas,Endpoint Protection Suites,,g2.com_wayback,2022
everlytic.com,Everlytic,software_saas,Email Marketing,,g2.com_wayback,2022
exagoinc.com,Exago,software_saas,Data Visualization,us,g2.com_wayback,2022
expeditecommerce.com,Expedite Commerce,ecommerce_retail,E-Commerce Platforms,us,g2.com_wayback,2022
ezlynx.com,EZLynx,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
fastspring.com,FastSpring,ecommerce_retail,E-Commerce Platforms,us,g2.com_wayback,2022
figma.com,Figma,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
financialforce.com,FinancialForce Financial Management ERP,fintech_insurance,Subscription Billing,us,g2.com_wayback,2022
fingercheck.com,Fingercheck Payroll,software_saas,Payroll,us,g2.com_wayback,2022
fireeye.com,FireEye Endpoint Security,software_saas,Endpoint Protection Suites,us,g2.com_wayback,2022
five9.com,Five9,software_saas,Live Chat,us,g2.com_wayback,2022
fivetran.com,Fivetran,devtools,ETL Tools,us,g2.com_wayback,2022
float.com,Float,software_saas,Project Management,us,g2.com_wayback,2022
flosum.com,Flosum,devtools,Continuous Integration,us,g2.com_wayback,2022
flowgear.net,Flowgear,devtools,ETL Tools,,g2.com_wayback,2022
forgerock.com,ForgeRock,software_saas,Identity and Access Management (IAM),us,g2.com_wayback,2022
fortinet.com,FortiClient,software_saas,Endpoint Protection Suites,us,g2.com_wayback,2022
foxit.com,Foxit PDF Editor,fintech_insurance,Billing,us,g2.com_wayback,2022
freeagent.com,FreeAgent,fintech_insurance,Accounting,,g2.com_wayback,2022
freemius.com,Freemius,fintech_insurance,Subscription Billing,us,g2.com_wayback,2022
freshbooks.com,FreshBooks,fintech_insurance,Billing,other,g2.com_wayback,2022
freshworks.com,Freshdesk,software_saas,Help Desk,us,g2.com_wayback,2022
frontapp.com,Front,software_saas,Help Desk,us,g2.com_wayback,2022
frontegg.com,Frontegg,software_saas,Identity and Access Management (IAM),,g2.com_wayback,2022
fusebill.com,Fusebill,fintech_insurance,Subscription Billing,other,g2.com_wayback,2022
idera.com,FusionCharts,software_saas,Data Visualization,us,g2.com_wayback,2022
intergral.com,FusionReactor APM,devtools,Application Performance Monitoring (APM),eu,g2.com_wayback,2022
ganttpro.com,GanttPRO,software_saas,Project Management,other,g2.com_wayback,2022
gearset.com,Gearset,devtools,Continuous Integration,,g2.com_wayback,2022
geckoboard.com,Geckoboard,software_saas,Data Visualization,other,g2.com_wayback,2022
genesys.com,Genesys Cloud CX,software_saas,Live Chat,us,g2.com_wayback,2022
germainapm.com,Germain APM,devtools,Application Performance Monitoring (APM),us,g2.com_wayback,2022
getresponse.com,GetResponse,software_saas,Marketing Automation,eu,g2.com_wayback,2022
github.com,GitHub,devtools,Continuous Integration,us,g2.com_wayback,2022
about.gitlab.com,GitLab,devtools,Continuous Integration,,g2.com_wayback,2022
gladly.com,Gladly,software_saas,Help Desk,,g2.com_wayback,2022
gmass.co,GMass,software_saas,Email Marketing,us,g2.com_wayback,2022
gmelius.com,Gmelius,software_saas,Help Desk,other,g2.com_wayback,2022
gnowbe.com,Gnowbe,edtech,Course Authoring,us,g2.com_wayback,2022
gocardless.com,GoCardless,fintech_insurance,Payment Gateways,other,g2.com_wayback,2022
goco.io,GoCo,software_saas,Core HR,us,g2.com_wayback,2022
edu.google.com,Google Classroom,edtech,Learning Management System (LMS),us,g2.com_wayback,2021
datastudio.withgoogle.com,Google Data Studio,software_saas,Data Visualization,us,g2.com_wayback,2022
gorgias.com,Gorgias,software_saas,Help Desk,us,g2.com_wayback,2022
greenhouse.io,Greenhouse,software_saas,Payroll,us,g2.com_wayback,2022
greenwayhealth.com,Intergy,health,Patient Engagement,us,g2.com_wayback,2022
greythr.com,greytHR,software_saas,Core HR,,g2.com_wayback,2022
grow.com,Grow.com,software_saas,Data Visualization,us,g2.com_wayback,2022
guidecx.com,GUIDEcx,software_saas,Project Management,us,g2.com_wayback,2022
gusto.com,Gusto,software_saas,Core HR,us,g2.com_wayback,2022
harness.io,Harness,devtools,Continuous Delivery,,g2.com_wayback,2022
hawksoft.com,HawkSoft,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
gethealthie.com,Healthie,health,Telemedicine,us,g2.com_wayback,2022
heartland.us,Heartland Payroll,software_saas,Payroll,us,g2.com_wayback,2022
tools4ever.com,HelloID,software_saas,Identity and Access Management (IAM),,g2.com_wayback,2022
dropbox.com,HelloSign,fintech_insurance,Insurance Agency Management,us,g2.com_wayback,2022
helpscout.net,Help Scout,software_saas,Help Desk,us,g2.com_wayback,2022
helpcrunch.com,HelpCrunch,software_saas,Help Desk,us,g2.com_wayback,2022
helpshift.com,Helpshift,software_saas,Help Desk,us,g2.com_wayback,2022
saaslabs.co,Helpwise,software_saas,Help Desk,us,g2.com_wayback,2022
hevodata.com,Hevo Data,devtools,ETL Tools,,g2.com_wayback,2022
hibob.com,Hibob HRIS,software_saas,Core HR,other,g2.com_wayback,2022
highcharts.com,Highcharts,software_saas,Data Visualization,other,g2.com_wayback,2022
hireology.com,Hireology,software_saas,Applicant Tracking Systems (ATS),us,g2.com_wayback,2022
hive.com,Hive,software_saas,Project Management,us,g2.com_wayback,2022
hiverhq.com,Hiver,software_saas,Help Desk,us,g2.com_wayback,2022
honeybook.com,HoneyBook,fintech_insurance,Billing,us,g2.com_wayback,2022
hootsuite.com,Hootsuite,devtools,ETL Tools,,g2.com_wayback,2022
hostwinds.com,Hostwinds,devtools,Continuous Integration,us,g2.com_wayback,2022
hubspot.com,HubSpot Marketing Hub,software_saas,Marketing Automation,us,g2.com_wayback,2022
