domain,company,vertical,industry_raw,region,source,list_year,stratum
agorize.com,Agorize,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
motork.ai,Motork,software_saas,Sales & Marketing,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
starred.com,Starred,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
fram.asia,Fram Skandinavien,fintech_insurance,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
innovasoft.org,Innovasoft,software_saas,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
tvsquared.com,TVSquared,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
bombayworks.com,Bombayworks,services_other,Technology,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
oikaoika.fr,OIKA OIKA,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
hedgehoglab.com,hedgehog lab,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
iso-recruiting-consultants.com,ISO Recruiting Consultants,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
consorziostabileappaltitalia.com,Consorzio Stabile Ambientemilia,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
akademie-sport-gesundheit.de,Akademie für Sport und Gesundheit,edtech,Health,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
liberis.com,Liberis,fintech_insurance,Fintech,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
superawesome.com,SuperAwesome,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
blueorangegames.com,Blue Orange,ecommerce_retail,Games industry,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
celerity-uk.com,Celerity,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
inrete.it,Inrete,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
4-most.co.uk,4most Group Holdings,fintech_insurance,Insurance,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
veritreff.de,VeriTreff,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
barbanqueting.com,Bar Banqueting,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
ticketer.com,Corvia (Ticketer),software_saas,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
bidtheatre.com,Bidtheatre,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
hostersi.com,Hostersi,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
hifuturegroup.com,HiFuture,ecommerce_retail,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
ableneo.com,Ableneo,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
osmii.com,Osmii,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
bizforward.co.uk,bizforward,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
nuiteq.com,Nuiteq,edtech,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
ecomedicaonline.it,Ecomedica,health,Health,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
11bitstudios.com,11 bit studios,software_saas,Games industry,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
gpcaregroup.org,Tower Hamlets GP Care Group,services_other,Health,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
creative-cables.com,Creative-Cables,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
itp-technologie.com,ITP TECHNOLOGIE,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
transcurebioservices.com,TransCure bioServices,health,Pharmaceuticals,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
comunitelia.com,Comunitelia Comunicaciones,services_other,Telecoms,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
justpark.com,JustPark Parking,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
esosphera.com,Esosphera,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
hajoona.com,hajoona,health,Health,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
optogama.com,Optogama,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
mountstreet.com,Mount Street Group,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
elettrotlc.it,Elettro TLC,services_other,Telecoms,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
strong-group.co.uk,Strong Recruitment Group,services_other,Support Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
symphony-solutions.com,Symphony Solutions,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
mazemap.com,MazeMap,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
intito.com,Intito,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
finanzchef24.de,Finanzchef24,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
kaizen-solutions.net,KAIZEN SOLUTIONS,services_other,Management Consulting,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
quicklink.tv,Quicklink Solutions,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
rumba.com.ar,Rumba,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
euronics.de,EURONICS XXL Mösker,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
juradirekt.com,JURA DIREKT,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
selenium-medical.com,Selenium Médical,health,Healh,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
agon-systems.com,Agon Systems,ecommerce_retail,Support Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
impaxam.com,Impax Asset Management,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
nexus-ehealth.com,NEXUS Netsoft Group,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
advancecapital.ru,Advance Capital,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
hairgallerystore.com,Hair Gallery Store,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
inframet.com,INFRAMET,services_other,Telecoms,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
riccardo-zigarette.de,Riccardo Retail,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
tailoradio.it,Tailoradio,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
mytho.com,Mytho,health,Pharmaceuticals,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
anoru.es,Cerámicas Anoru,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
smartblue.de,Smartblue,software_saas,Support Services,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
lca-distribution.com,LCA DISTRIBUTION,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
crownagentsbank.com,Crown Agents Bank,fintech_insurance,Fintech,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
genoke.com,GENOKE Trading,ecommerce_retail,Sales & Marketing,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
lventuregroup.com,Lventure Group,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
adzuna.com,Adzuna,services_other,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
prios-personal.de,Prios Personal,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
sinob.de,#sinob,services_other,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
mifarma.eu,Mifarma Tienda Online,health,Ecommerce,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
177mortgages.com,One 77 Mortgages,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
lepanierbags.com,Le Panier,ecommerce_retail,Fashion,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
smartadserver.com,Smart AdServer,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
cooperativairis.org,Iris Soc. Cooperativa Sociale,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
compositesone.com,Des Composites,ecommerce_retail,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
rocksteadymusicschool.com,Rocksteady Music School,services_other,Education,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
aizo.com.my,Aizo Group,services_other,Technology,eu,ft1000_wayback:20210331132419,2021,ft1000_wayback:20210331132419
kimbleonline.com,Kimble Applications,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
groupe-quintesens.fr,GROUPE QUINTÉSENS,fintech_insurance,Financial Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
aptitudesoftware.com,Aptitude Software Group,software_saas,Technology,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
softech.ro,Softech,services_other,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
tannico.com,Tannico Wineplatform,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
riversleasing.com,Rivers Finance Group,fintech_insurance,Financial Services,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
garaude.com,Garaude,ecommerce_retail,Retail,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
wearskypro.com,Abotoa (SKYPRO),ecommerce_retail,Fashion,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
passionforpeople.de,Passion for People,services_other,Support Services,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
just-eat.co.uk,Just Eat,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
eyespecs.com,EyeSpec,ecommerce_retail,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
siteimprove.com,Siteimprove,software_saas,Technology,eu,ft1000_wayback:20230425220624,2020,ft1000_wayback:20230425220624
