domain,company,vertical,industry_raw,region,source,list_year
chwinery.com,Cooper's Hawk Winery and Restaurants,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
ciandt.com,CI&T,services_other,Business Products & Services,us,inc.com_api_i5list,2019
ciconix.com,CICONIX,services_other,Government Services,us,inc.com_api_i5list,2019
cience.com,CIENCE Technologies,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cinchhomeservices.com,Cross Country Home Services,fintech_insurance,Insurance,us,inc.com_api_i5list,2019
cinchit.com,"Cinch I.T. of Newton, Woburn, Framingham",services_other,IT Services,us,inc.com_api_i5list,2019
cinergy.com,Cinergy Entertainment,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
cintel-inc.com,Cintel,services_other,Government Services,us,inc.com_api_i5list,2019
ciphertechsolutions.com,Cipher Tech Solutions,software_saas,Software,us,inc.com_api_i5list,2019
cirainfotech.com,Cira Infotech,services_other,IT Services,us,inc.com_api_i5list,2019
circaedu.com,Circa Interactive,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
circustrix.com,CircusTrix,ecommerce_retail,Consumer Products,us,inc.com_api_i5list,2019
cirruslabs.io,CirrusLabs,services_other,IT Services,us,inc.com_api_i5list,2019
ciscom.com,CisCom Solutions,services_other,IT Services,us,inc.com_api_i5list,2019
cisoshare.com,CISOSHARE,services_other,Security,us,inc.com_api_i5list,2019
city-ventures.com,City Ventures,services_other,Real Estate,us,inc.com_api_i5list,2019
citybrewtours.com,City Brew Tours Group,services_other,Travel & Hospitality,us,inc.com_api_i5list,2019
citylifestyle.com,City Lifestyle,services_other,"Media, Arts & Entertainment",us,inc.com_api_i5list,2019
cityliftparking.com,City Lift Parking,services_other,Construction,us,inc.com_api_i5list,2019
citywinery.com,City Winery,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
civicminds.com,CivicMinds,services_other,Human Resources,us,inc.com_api_i5list,2019
civicplus.com,CivicPlus,services_other,Government Services,us,inc.com_api_i5list,2019
ckdtech.co,CKD Technology Partners,software_saas,Software,us,inc.com_api_i5list,2019
claimify.com,Claimify (formerly Lucens Group),fintech_insurance,Insurance,us,inc.com_api_i5list,2019
clarendonptrs.com,Clarendon Partners,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
clarionsecurity.com,Clarion Security,services_other,Security,us,inc.com_api_i5list,2019
claritypartners.com,Clarity Partners,services_other,IT Services,us,inc.com_api_i5list,2019
clarityssi.com,Clarity Software Solutions,software_saas,Software,us,inc.com_api_i5list,2019
clarkbrosinc.com,Clark Bros.,services_other,Construction,us,inc.com_api_i5list,2019
classicrockfab.com,Classic Rock Fabrication,services_other,Manufacturing,us,inc.com_api_i5list,2019
classyart.net,Classy Art,services_other,Manufacturing,us,inc.com_api_i5list,2019
claytonsigns.com,Clayton Signs,services_other,Manufacturing,us,inc.com_api_i5list,2019
cleanchoiceenergy.com,CleanChoice Energy,services_other,Energy,us,inc.com_api_i5list,2019
cleanenergysolar.org,Clean Energy Solutions,services_other,Energy,us,inc.com_api_i5list,2019
cleanfuelsnational.com,Clean Fuels National,services_other,Environmental Services,us,inc.com_api_i5list,2019
cleanjuice.com,Clean Juice Holdings,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
cleanlife.com,CleanLife,services_other,Manufacturing,us,inc.com_api_i5list,2019
clearcompany.com,ClearCompany,software_saas,Software,us,inc.com_api_i5list,2019
clearent.com,Clearent,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
clearlyrated.com,ClearlyRated,software_saas,Software,us,inc.com_api_i5list,2019
clearplanconsulting.com,ClearPlan,services_other,Business Products & Services,us,inc.com_api_i5list,2019
clearviewlive.com,ClearView Business Intelligence,software_saas,Software,us,inc.com_api_i5list,2019
clerestoryconsulting.com,Clerestory Consulting,services_other,IT Services,us,inc.com_api_i5list,2019
clickdimensions.com,ClickDimensions,software_saas,Software,us,inc.com_api_i5list,2019
clickfunnels.com,ClickFunnels,software_saas,Software,us,inc.com_api_i5list,2019
clickstop.com,Clickstop,services_other,Manufacturing,us,inc.com_api_i5list,2019
clientcommand.com,Client Command,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
clientsavvy.com,Client Savvy,services_other,Business Products & Services,us,inc.com_api_i5list,2019
clientservertech.com,ClientServer Technology Solutions,services_other,IT Services,us,inc.com_api_i5list,2019
clinicalmind.com,ClinicalMind,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
clinlabstaffing.com,Focus Search Group,services_other,Human Resources,us,inc.com_api_i5list,2019
clockshark.com,ClockShark,software_saas,Software,us,inc.com_api_i5list,2019
closeriq.com,CloserIQ,services_other,Business Products & Services,us,inc.com_api_i5list,2019
closetamerica.com,Closet America,services_other,Construction,us,inc.com_api_i5list,2019
cloud4good.com,Cloud for Good,services_other,IT Services,us,inc.com_api_i5list,2019
cloudbakers.com,Cloudbakers,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cloudbeds.com,Cloudbeds,software_saas,Software,us,inc.com_api_i5list,2019
cloudhesive.com,CloudHesive,services_other,IT Services,us,inc.com_api_i5list,2019
cloudit.co,cloudIT,services_other,IT Services,us,inc.com_api_i5list,2019
cloudmybiz.com,CloudMyBiz,software_saas,Software,us,inc.com_api_i5list,2019
cloudnexa.com,Cloudnexa,services_other,IT Services,us,inc.com_api_i5list,2019
cloudnexion.com,Cloudnexion,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cloudq.net,CLOUDQ,software_saas,Software,us,inc.com_api_i5list,2019
cloudsmartz.com,CloudSmartz,software_saas,Software,us,inc.com_api_i5list,2019
cloudticity.com,Cloudticity,health,Health Services,us,inc.com_api_i5list,2019
clubdrive.com,ClubDrive Systems,services_other,IT Services,us,inc.com_api_i5list,2019
clutch.co,Clutch,services_other,"Advertising, Marketing & PR",us,inc.com_api_i5list,2019
clutch.com,Clutch Holdings,software_saas,Software,us,inc.com_api_i5list,2019
cmbaarchitects.com,CMBA Architects,services_other,Engineering,us,inc.com_api_i5list,2019
cmelending.com,CME Lending Group,fintech_insurance,Financial Services,us,inc.com_api_i5list,2019
cmgmidwest.com,CMG Midwest,services_other,Construction,us,inc.com_api_i5list,2019
cmrconstruction.com,CMR Construction & Roofing,services_other,Construction,us,inc.com_api_i5list,2019
cmredge.com,Creative Marketing Resources,services_other,Advertising & Marketing,us,inc.com_api_i5list,2019
cmtservicesinc.com,CMT Services,services_other,Government Services,us,inc.com_api_i5list,2019
cncmachines.com,CNC Machines,services_other,Manufacturing,us,inc.com_api_i5list,2019
cnftech.com,CNF Technologies Corporation,services_other,IT Services,us,inc.com_api_i5list,2019
coadvantage.com,CoAdvantage,services_other,Business Products & Services,us,inc.com_api_i5list,2019
coastalpayroll.com,Coastal Payroll Services,services_other,Human Resources,us,inc.com_api_i5list,2019
coastmedicalservice.com,Coast Medical Service,services_other,Human Resources,us,inc.com_api_i5list,2019
coastprofessional.com,Coast Professional,services_other,Business Products & Services,us,inc.com_api_i5list,2019
coasttocoastpools.com,Coast to Coast Pools,services_other,Construction,us,inc.com_api_i5list,2019
cocanopy.com,Canopy,software_saas,Software,us,inc.com_api_i5list,2019
coconstruct.com,CoConstruct,software_saas,Software,us,inc.com_api_i5list,2019
coconutcondos.com,Coconut Condos,services_other,Real Estate,us,inc.com_api_i5list,2019
code42.com,Code42 Software,services_other,Security,us,inc.com_api_i5list,2019
codev.com,CoDev,services_other,Human Resources,us,inc.com_api_i5list,2019
coedistributing.com,JMJS DBA COE DISTRIBUTING,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cofclogistics.com,COFC Logistics,services_other,Logistics & Transportation,us,inc.com_api_i5list,2019
coffeebar.com,Coffeebar,ecommerce_retail,Food & Beverage,us,inc.com_api_i5list,2019
coffeemeetsbagel.com,Coffee Meets Bagel,services_other,Consumer Services,us,inc.com_api_i5list,2019
cogent-2000.com,Cogent Solutions,services_other,Government Services,us,inc.com_api_i5list,2019
cogentanalytics.com,Cogent Analytics,services_other,Business Products & Services,us,inc.com_api_i5list,2019
cognira.com,Cognira,software_saas,Software,us,inc.com_api_i5list,2019
cognitusconsulting.com,Cognitus Consulting,services_other,IT Services,us,inc.com_api_i5list,2019
cohencpa.com,Cohen & Company,services_other,Business Products & Services,us,inc.com_api_i5list,2019
