domain,company,vertical,industry_raw,region,source,list_year
personalhub.de,PersonalHub Holding,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
dobar.de,dobar e-Commerce,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
hirschtec.eu,HIRSCHTEC,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
alterboutique.com,Alterboutique,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
goldengates.de,Golden Gates Technologiemetalle,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
fattorialefonti.it,Le Fonti,services_other,Media,eu,ft1000_wayback:20210331132419,2021
merkkur.de,Merkkur,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
elettronicadedicata.it,E.D. Elettronica Dedicata,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
forsythbarnes.com,Forsyth Barnes,services_other,Support Services,uk,ft1000_wayback:20210331132419,2021
nutrileya.it,Nutrileya,health,Pharmaceuticals,eu,ft1000_wayback:20210331132419,2021
agcapps.com,AG Consultancy & Apps,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
adservio.fr,Adservio,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
rackforest.com,Rackforest,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
angelinipharma.com,A.B. Pharm,health,Pharmaceuticals,eu,ft1000_wayback:20210331132419,2021
leslipfrancais.fr,Le Slip Français,ecommerce_retail,Retail,eu,ft1000_wayback:20210331132419,2021
next04.it,Next04,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
keyquant.fr,Keyquant,fintech_insurance,Financial Services,eu,ft1000_wayback:20210331132419,2021
webmediarm.com,WebmediaRM,services_other,Media,eu,ft1000_wayback:20210331132419,2021
pentagon-group.co.uk,We Are Pentagon Group,ecommerce_retail,Ecommerce,uk,ft1000_wayback:20210331132419,2021
firalis.com,Firalis,health,Health,eu,ft1000_wayback:20210331132419,2021
digitalmind.rs,Digitalmind,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
adquality.fr,Adquality,services_other,Advertising,eu,ft1000_wayback:20210331132419,2021
venticento.eu,Venticento,devtools,Cyber Security,eu,ft1000_wayback:20210331132419,2021
advancecapital.ru,Advance Capital,services_other,Management Consulting,eu,ft1000_wayback:20210331132419,2021
hb-friends.com,Heissen Becker & Friends,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
intech-mw.com,Intech Microwaves,services_other,Telecoms,eu,ft1000_wayback:20210331132419,2021
bentley.global,Bentley Innomed,health,Health,eu,ft1000_wayback:20210331132419,2021
lengoo.com,lengoo,services_other,Support Services,eu,ft1000_wayback:20210331132419,2021
xceptor.com,Xceptor,fintech_insurance,Fintech,uk,ft1000_wayback:20210331132419,2021
humanas.de,Humanas Pflege,health,Health,eu,ft1000_wayback:20210331132419,2021
mind7.com,Mind7 Consulting,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
7layers.com,7Layers,devtools,Cyber Security,eu,ft1000_wayback:20210331132419,2021
lightfoot.co.uk,Lightfoot Innovations,software_saas,Technology,uk,ft1000_wayback:20210331132419,2021
softandcloud.com,Soft & Cloud,software_saas,Technology,eu,ft1000_wayback:20210331132419,2021
onceuponatime.agency,Once Upon A Time Global,services_other,Advertising,uk,ft1000_wayback:20210331132419,2021
