domain,company,vertical,industry_raw,region,source,list_year
fenstermaxx24.com,Fenstermaxx24,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
delineate.ai,Delineate Strategy,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
increso.com,Increso,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
amity.ac.uk,Amity,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
regie-portage.fr,LA REGIE DE PORTAGE SALARIAL,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
appinio.com,Appinio,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
aer-trading.com,AER TRADING,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
valumen.com,VALUMEN,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
bolt.eu,Bolt,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
kiteworldshop.com,Kiteworldshop.com,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
templafy.com,Templafy,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
comservice.es,Comservice,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
roomraccoon.com,RoomRaccoon,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
signaturit.com,Signaturit,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
modulrfinance.com,Modulr,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
jungheinrich-profishop.co.uk,PROFISHOP,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
statsbomb.com,StatsBomb,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
theras-group.com,Theras Biocare,health,Pharmaceuticals,eu,ft1000_wayback:20220301043147,2022
stenn.com,Stenn,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
nanushka.com,Nanushka,ecommerce_retail,Fashion,eu,ft1000_wayback:20220301043147,2022
deutsches-pm.de,DPM - Deutsches Personal Management,services_other,Support Services,eu,ft1000_wayback:20220301043147,2022
monese.com,Monese,fintech_insurance,Fintech,uk,ft1000_wayback:20220301043147,2022
arquimea.com,Arquimea,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
groupe-perspective.fr,Groupe PERSPECTIVE,edtech,Education,eu,ft1000_wayback:20220301043147,2022
funnel.io,Funnel,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
lquarters.com,Living Quarter,health,Health,eu,ft1000_wayback:20220301043147,2022
learningtechnologies.co.uk,Learning Technologies,software_saas,Technology,uk,ft1000_wayback:20220301043147,2022
curafarma.it,Cura Farma,health,Health,eu,ft1000_wayback:20220301043147,2022
sipadan.com,SIPADAN,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
dateioplatform.com,Dateio,fintech_insurance,Fintech,eu,ft1000_wayback:20220301043147,2022
componentidigitali.com,Componenti Digitali,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
itds.pl,ITDS Polska,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
nordsecurity.com,Nord Security,devtools,Cyber Security,eu,ft1000_wayback:20220301043147,2022
mews.com,Mews,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
systeme.io,systeme.io,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
multix-trolley.com,Multix solutions,health,Health,eu,ft1000_wayback:20220301043147,2022
b2digit.com,B2DIGIT,software_saas,Technology,eu,ft1000_wayback:20220301043147,2022
woodwatch.com,WoodWatch,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
soluzionetasse.com,Soluzione Tasse,services_other,Management Consulting,eu,ft1000_wayback:20220301043147,2022
velocultour.de,Velocultour,ecommerce_retail,Retail,eu,ft1000_wayback:20220301043147,2022
butorpiac.hu,butorpiac.hu,ecommerce_retail,Ecommerce,eu,ft1000_wayback:20220301043147,2022
