domain,vertical,region,company,batch,stratum,n_article_urls,best_path,qualified,error,crawls
ediblearrangements.com,ecommerce_retail,us,Edible Arrangements,inc.com_api_i5list,inc.com_api_i5list,296,blog/,True,,
aus.com,services_other,us,Allied Universal,inc.com_api_i5list,inc.com_api_i5list,293,blog/,True,,
corpnet.com,services_other,us,CorpNet,inc.com_api_i5list,inc.com_api_i5list,291,blog/,True,,
qulture.rocks,saas,us,Qulture.Rocks,Winter 2018,yc,291,blog/,True,,
asana.com,software_saas,us,Asana,g2.com_wayback,g2.com_wayback,291,blog.,True,,
wovenware.com,software_saas,us,Wovenware,inc.com_api_i5list,inc.com_api_i5list,289,blog/,True,,
ahazou.com,fintech,us,Ahazou,Summer 2021,yc,289,blog.,True,,
mequilibrium.com,software_saas,us,New Life Solution,inc.com_api_i5list,inc.com_api_i5list,288,resources/,True,,
goldfishswimschool.com,services_other,us,Goldfish Swim School Franchising,inc.com_api_i5list,inc.com_api_i5list,288,blog/,True,,
zox.la,ecommerce_retail,us,ZOX,inc.com_api_i5list,inc.com_api_i5list,285,blog/,True,,
reltio.com,software_saas,us,Reltio,inc.com_api_i5list,inc.com_api_i5list,284,blog/,True,,
mynuface.com,ecommerce_retail,us,Carol Cole Co.,inc.com_api_i5list,inc.com_api_i5list,282,blog/,True,,
ametros.com,health,us,Ametros,inc.com_api_i5list,inc.com_api_i5list,282,blog/,True,,
projectrepat.com,ecommerce_retail,us,Project Repat,inc.com_api_i5list,inc.com_api_i5list,281,blog/,True,,
incauthority.com,services_other,us,Inc Authority,inc.com_api_i5list,inc.com_api_i5list,280,blog/,True,,
embroker.com,fintech_insurance,us,Embroker,inc.com_api_i5list,inc.com_api_i5list,279,blog/,True,,
lookaftermybills.com,fintech,eu,Look After My Bills,Winter 2018,yc,278,blog/,True,,
gooten.com,ecommerce_retail,us,Gooten,inc.com_api_i5list,inc.com_api_i5list,276,blog/,True,,
prialto.com,services_other,us,Prialto,inc.com_api_i5list,inc.com_api_i5list,275,blog/,True,,
cbinsights.com,software_saas,us,CB Insights,inc.com_api_i5list,inc.com_api_i5list,274,blog/,True,,
worthpoint.com,ecommerce_retail,us,WorthPoint Corporation,inc.com_api_i5list,inc.com_api_i5list,274,blog/,True,,
gladly.com,software_saas,,Gladly,g2.com_wayback,g2.com_wayback,274,blog/,True,,
clear.co,fintech_insurance,us,Clearco,inc.com_api_i5list,inc.com_api_i5list,273,blog/,True,,
medixteam.com,services_other,us,Medix Staffing Solutions,inc.com_api_i5list,inc.com_api_i5list,273,blog/,True,,
callcenter-salespro.com,services_other,us,Call Center Sales Pro,inc.com_api_i5list,inc.com_api_i5list,272,blog/,True,,
classdojo.com,ecommerce,us,ClassDojo,Summer 2012,yc,271,blog.,True,,
bigbinary.com,services_other,us,BigBinary,inc.com_api_i5list,inc.com_api_i5list,271,blog/,True,,
healthcareitleaders.com,health,us,Healthcare IT Leaders,inc.com_api_i5list,inc.com_api_i5list,271,blog/,True,,
zentail.com,ecommerce,us,Zentail,Summer 2012,yc,271,blog/,True,,
everydoorrealestate.com,services_other,us,Top Pod,inc.com_api_i5list,inc.com_api_i5list,270,blog/,True,,
aceup.com,services_other,us,AceUp,inc.com_api_i5list,inc.com_api_i5list,268,blog.,True,,
kenwayconsulting.com,services_other,us,Kenway Consulting,inc.com_api_i5list,inc.com_api_i5list,267,blog/,True,,
bulldozair.com,software_saas,eu,Bulldozair,yc_directory,yc_directory,267,blog.,True,,
quiq.com,software_saas,us,Quiq,inc.com_api_i5list,inc.com_api_i5list,266,blog/,True,,
fullstackacademy.com,other,us,Fullstack Academy,Summer 2012,yc,265,blog/,True,,
strongeru.com,health,us,Stronger U Nutrition,inc.com_api_i5list,inc.com_api_i5list,265,blog/,True,,
marathon.edu.vn,edtech,us,Marathon Education,yc_directory,yc_directory,264,blog.,True,,
braze.com,software_saas,us,Braze,g2.com_wayback,g2.com_wayback,264,blog/,True,,
teamiblends.com,ecommerce_retail,us,Teami Blends,inc.com_api_i5list,inc.com_api_i5list,261,blog/,True,,
prevu.com,services_other,us,Prevu,inc.com_api_i5list,inc.com_api_i5list,260,blog/,True,,
markspain.com,services_other,us,Mark Spain Real Estate,inc.com_api_i5list,inc.com_api_i5list,260,blog/,True,,
chetu.com,services_other,us,Chetu,inc.com_api_i5list,inc.com_api_i5list,260,blog/,True,,
fond.co,fintech,us,Fond,Winter 2012,yc,260,blog/,True,,
netguru.com,services_other,eu,Netguru,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,259,blog/,True,,
corsicatech.com,services_other,us,Corsica Technologies,inc.com_api_i5list,inc.com_api_i5list,259,blog/,True,,
agencyanalytics.com,software_saas,other,AgencyAnalytics,g2.com_wayback,g2.com_wayback,256,blog/,True,,
realmanage.com,services_other,us,RealManage,inc.com_api_i5list,inc.com_api_i5list,255,blog.,True,,
yensa.com,ecommerce_retail,us,YENSA beauty,inc.com_api_i5list,inc.com_api_i5list,254,blog/,True,,
searchspring.com,software_saas,us,Searchspring,inc.com_api_i5list,inc.com_api_i5list,253,blog/,True,,
perfectserve.com,health,us,Perfectserve,inc.com_api_i5list,inc.com_api_i5list,252,blog/,True,,
madeintandem.com,services_other,us,Tandem,inc.com_api_i5list,inc.com_api_i5list,251,blog/,True,,
ruggedtabletpc.com,ecommerce_retail,us,MobileDemand,inc.com_api_i5list,inc.com_api_i5list,250,blog/,True,,
sheerid.com,software_saas,us,SheerID,inc.com_api_i5list,inc.com_api_i5list,248,blog/,True,,
bolt.eu,services_other,eu,Bolt,ft1000_wayback:20220301043147,ft1000_wayback:20220301043147,246,blog.,True,,
ramp.com,fintech,us,Paribus,Summer 2015,yc,244,blog/,True,,
thndr.app,fintech,us,Thndr,Summer 2020,yc,243,blog.,True,,
citusdata.com,devtools,eu,Citus Data,Summer 2011,yc,243,blog/,True,,
executivespeakers.com,services_other,us,Executive Speakers Bureau,inc.com_api_i5list,inc.com_api_i5list,242,blog/,True,,
pieinsurance.com,fintech_insurance,us,Pie Insurance,inc.com_api_i5list,inc.com_api_i5list,237,blog/,True,,
discoverorg.com,software_saas,us,DiscoverOrg,inc.com_api_i5list,inc.com_api_i5list,237,blog/,True,,
logicbroker.com,software_saas,us,Logicbroker,inc.com_api_i5list,inc.com_api_i5list,236,blog.,True,,
scentbird.com,ecommerce,us,Scentbird,Summer 2015,yc,235,blog/,True,,
